pub,label,doi
http://info.deepcarbon.net/individual/8b11fa29-1e8c-469f-84e8-ab6fb2f39d5f,Ethane- and propane-producing potential and molecular characterization of an ethanogenic enrichment in an anoxic estuarine sediment,10.1016/j.orggeochem.2013.03.001
http://info.deepcarbon.net/individual/56ff3a57-f496-4bdf-92f4-f79c1240522d,Ontology dynamics in a data life cycle: Challenges and recommendations from a Geoscience Perspective,10.1007/s12583-014-0408-8
http://info.deepcarbon.net/individual/13735e91-0be6-4bff-96a7-f08a2b8d4cc1,Low Temperature Heat Capacities and Entropies at 298.16��K. of Magnesium Orthotitanate and Magnesium Dititanate,10.1021/ja01138a064
http://info.deepcarbon.net/individual/65af23dc-e9a9-476b-a4d7-0394c31620f6,Combined 13C���D and D���D clumping in methane: Methods and preliminary results,10.1016/j.gca.2013.10.045
http://info.deepcarbon.net/individual/d4bf8c71a-35a5-44e1-90aa-c63bf33545e9,A model for C-O-H fluid in the Earth's mantle,10.1016/j.gca.2009.01.021
http://info.deepcarbon.net/individual/3839a005-a634-4473-85b6-febd8e58e868,Hot-Alkaline DNA Extraction Method for Deep-Subseafloor Archaeal Communities,10.1128/AEM.04150-13
http://info.deepcarbon.net/individual/de07ae051-c7c7-4524-a504-62c7605d66c0,"Political, economic and environmental impacts of biomass-based hydrogen",10.1016/j.ijhydene.2009.02.067
http://info.deepcarbon.net/individual/d5b26e168-ebc7-4399-93e9-fe6f3969e461,Siderite at lower mantle conditions and the effects of the pressure-induced spin-pairing transition,10.1029/2009GL039652
http://info.deepcarbon.net/individual/c218c42d-a6f8-43ae-882d-d4dc2b66be85,Experimental calibration of a garnet���clinopyroxene geobarometer for mantle eclogites,10.1007/s00410-015-1113-z
http://info.deepcarbon.net/individual/d99a3a672-fc10-4844-9c3f-94941f92a5f9,"Late Archean to Early Paleoproterozoic global tectonics, environmental change and the rise of atmospheric oxygen",10.1016/j.epsl.2005.06.062
http://info.deepcarbon.net/individual/2d0f8aff-a3f6-4106-b646-a565ddb6bfa7,Impact of CO2 concentration on autotrophic metabolisms and carbon fate in saline aquifers ��� A case study,10.1016/j.gca.2013.05.027
http://info.deepcarbon.net/individual/df1b99eca-2a7c-4527-8b11-1243b1ca3db4,Borate minerals stabilize ribose,10.1126/science.1092464
http://info.deepcarbon.net/individual/n12035,The fumaroles of Shiveluch Volcano in September and December 1953,10.1594/IEDA/100485
http://info.deepcarbon.net/individual/dd98d5b40-5929-4a8a-a3dd-5a1bc956ea92,The Chemistry of Carbon in Aqueous Fluids at Crustal and Upper-Mantle Conditions: Experimental and Theoretical Constraints,10.2138/rmg.2013.75.5
http://info.deepcarbon.net/individual/d0b5780cd-75ff-481b-98bd-f84b5a468115,Hydrogen generation from low-temperature water-rock reactions,10.1038/ngeo1825
http://info.deepcarbon.net/individual/d6470bad5-f3c2-409e-ad11-3065a1cab841,"Structure, Bonding, and Mineralogy of Carbon at Extreme Conditions",10.2138/rmg.2013.75.3
http://info.deepcarbon.net/individual/9050f0fb-f2ca-446b-97db-cb925e83f683,Long-term preservation of slab signatures in the mantle inferred from hydrogen isotopes,10.1038/ngeo1406
http://info.deepcarbon.net/individual/df7e07170-b639-4b2f-95aa-0e1709bb74f9,The Rise of Skeletal Biominerals,10.2113/gselements.6.1.37
http://info.deepcarbon.net/individual/db0d5d180-3279-492c-baa8-736f40c55d1f,The carbon isotope composition of natural SiC (moissanite) from the Earth's mantle: New discoveries from ophiolites,10.1016/j.lithos.2009.06.033
